Num,Ligand_SMILES,Product_SMILES,Temp (K),G,ee (%),L_Num,L_DFT,L_Type,P_Num,R_Type,Data_Type,Doi,Ligand_Compound_Name,Product_Compound_Name,Unnamed: 15
269,CC([C@@H]1N=C(C2=NC3=CC=CC=C3C=C2)OC1)(C)C,COC(C=C1)=NC=C1[C@@H](NC(C2=CC=CC=C2)=O)CC,303.15,0.2642,-22,L8,Ligand_359,Pyox,P_10,NiH,HTE,10.1002/anie.202011342,"(S)-4-(tert-butyl)-2-(quinolin-2-yl)-4,5-dihydrooxazole",(S)-N-(1-(6-methoxypyridin-3-yl)propyl)benzamide,
670,CC(C1=N[C@]2([H])[C@](CC3=C2C=CC=C3)([H])O1)(C4=N[C@]5([H])[C@](CC6=C5C=CC=C6)([H])O4)CC7=N[C@]8([H])[C@](CC9=C8C=CC=C9)([H])O7,N#C[C@@H](C1CCCCC1)C2=CC=CC=C2,248.15,0.5329,-49,L40,Ligand_69,Box,P_16,C(sp3)-C(sp2),HTE,10.1021/ja303442q,"(3aS,3a'S,3a''S,8aR,8a'R,8a''R)-2,2',2''-(propane-1,2,2-triyl)tris(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",(S)-2-cyclohexyl-2-phenylacetonitrile,
3892,CC(C)[C@H]1N=C(C2=CC=CC(C3=N[C@H](C(C)C)CO3)=N2)OC1,C(C1=CC=CC=C1)N(C([C@H](CCCCCC#N)CC)=O)C1=CC=CC=C1,273.15,1.8003,-93,L323,Ligand_331,Pybox,P_2362,C(sp3)-C(sp3),literature,10.1021/ja0506509,"2,6-bis((R)-4-isopropyl-4,5-dihydrooxazol-2-yl)pyridine",(S)-N-benzyl-7-cyano-2-ethyl-N-phenylheptanamide,
4366,CC(C1=N[C@H](C2=CC=CC=C2)CO1)(C)C3=N[C@H](C4=CC=CC=C4)CO3,[Si](C)(C)(C(C)(C)C)OC[C@@H](C(CCC1=CC=C(C=C1)OC)=O)C1=CC=CC=C1,293.15,1.6567,-89,L210,Ligand_80,Box,P_1223,RCC,literature,10.1021/ja402922w,"(4R,4'R)-2,2'-(propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",(S)-1-((tert-butyldimethylsilyl)oxy)-5-(4-methoxyphenyl)-2-phenylpentan-3-one,
1911,C1(C2=N[C@H](C3=CC=CC=C3)[C@@H](C4=CC=CC=C4)N2)=NC(C5=N[C@H](C6=CC=CC=C6)[C@@H](C7=CC=CC=C7)N5)=CC=C1,O=C(NC1=CC=C2C=CC=CC2=C1)[C@H](C)CCC3=CC=CC=C3,263.15,0.0386,-4,L41,Ligand_257,Biim,P_70,NiH,HTE,10.1002/anie.202011339,"2,6-bis((4R,5R)-4,5-diphenyl-4,5-dihydro-1H-imidazol-2-yl)pyridine",(R)-2-methyl-N-(naphthalen-2-yl)-4-phenylbutanamide,
5228,CCC(C1=N[C@@H](C(C)C)CO1)(CC)C2=N[C@@H](C(C)C)CO2,C[C@@]12N(C3=CC=CC=C3C1)C(C1=CC=CC=C12)=O,353.15,0.5615,-38,L157,Ligand_149,Box,P_741,Cyclization,literature,10.1002/anie.201707134,"(4S,4'S)-2,2'-(pentane-3,3-diyl)bis(4-isopropyl-4,5-dihydrooxazole)","(R)-10b-methyl-10b,11-dihydro-6H-isoindolo[2,1-a]indol-6-one",
4564,CCCC(CCC)[C@@H]1COC(C2=N[C@H](C(CCC)CCC)CO2)=N1,CC([C@H](C(=O)OC1=CC=CC=C1)C1=CC=C(C=C1)C)C,293.15,2.4377,-97,L137,Ligand_8,Biox,P_510,RCC,literature,10.1039/d1sc00822f,"(4R,4'R)-4,4'-di(heptan-4-yl)-4,4',5,5'-tetrahydro-2,2'-bioxazole",phenyl (S)-3-methyl-2-(p-tolyl)butanoate,
1153,CC([C@@H]1N=C2N[C@@H](C(C)(C)C)CN2C1)(C)C,O=C(C1=CC=CC=C1)N[C@@H](C2CCN(S(C3=CC=C(C=C3)C)(=O)=O)CC2)CC,303.15,0.4793,-38,L44,Ligand_259,Biim,P_24,NiH,HTE,10.1038/s41467-021-22983-7,"(2S,6S)-2,6-di-tert-butyl-2,3,5,6-tetrahydro-1H-imidazo[1,2-a]imidazole",(R)-N-(1-(1-tosylpiperidin-4-yl)propyl)benzamide,
6040,C1(C(CC2=CC=CC3=C2C=CC=C3)(CC4=C(C=CC=C5)C5=CC=C4)C6=N[C@@H](C7=CC=CC=C7)[C@@H](C8=CC=CC=C8)O6)=N[C@@H](C9=CC=CC=C9)[C@@H](C%10=CC=CC=C%10)O1,CC(C)C([C@@H](CCCC1=CC=CC=C1)C(F)(F)F)=O,263.15,1.8177,-94,L479,Ligandplus_7,Box,pplus_251,Others,literature,10.1021/acs.orglett.2c01208,"(4S,4'S,5R,5'R)-2,2'-(1,3-di(naphthalen-1-yl)propane-2,2-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)",(R)-2-methyl-7-phenyl-4-(trifluoromethyl)heptan-3-one,
5398,FC(C(C=N1)=CC=C1C2=N[C@H](C3=CC=CC=C3)CO2)(F)F,F\C(\C[C@]1(C(N(C2=CC=CC=C12)C)=O)C)=C/C1=CC2=CC=CC=C2C=C1,298.15,0.2034,-17,L80,Ligand_453,Pyox,P_2366,Cyclization,literature,10.1021/acscatal.9b03172,"(R)-4-phenyl-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole","(R,Z)-3-(2-fluoro-3-(naphthalen-2-yl)allyl)-1,3-dimethylindolin-2-one",
6337,CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,BrC1=CC=C(C(=O)NC[C@@H](C)N(CC)CC)C=C1,298.15,2.7225,-98,L312,Ligand_112,Box,pplus_548,NiH,literature,10.1021/jacs.2c02343,"(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",(R)-4-bromo-N-(2-(diethylamino)propyl)benzamide,
4931,CCC([C@@H](CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=C1C3=N[C@@H](C(C)CC)CN3C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)C,O1CC[C@@H](C2=CC=CC=C12)/C=C/C1=CC=C(C#N)C=C1,298.15,1.5796,-87,L163,Ligand_289,Biim,P_826,Photoredox,literature,10.1021/acscatal.1c02851,"(4S,4'S)-4,4'-di-sec-butyl-1,1'-bis(3,5-di-tert-butylphenyl)-4,4',5,5'-tetrahydro-1H,1'H-2,2'-biimidazole","(R,E)-4-(2-(chroman-4-yl)vinyl)benzonitrile",
2697,C1=CC=C2C(=C1)C[C@H]1OC(C3=N[C@H]4C5=CC=CC=C5C[C@H]4O3)=N[C@@H]21,COC1=CC=C(C=C1)[C@H](CCC)NC1=CC=C(C=C1)C,273.15,1.5982,-90,L370,Ligand_14,Biox,P_2611,NiH,literature,10.1002/anie.202109881,"(3aS,3'aS,8aR,8'aR)-3a,3'a,8a,8'a-tetrahydro-8H,8'H-2,2'-biindeno[1,2-d]oxazole",(S)-N-(1-(4-methoxyphenyl)butyl)-4-methylaniline,
2592,FC(C1=CN=C(C2=N[C@@H](C3=CC=CC=C3)CO2)C=C1)(F)F,C(C)(C)[Si]([C@](C#C)(CC)C1=CC=C(C=C1)OC)(C(C)C)C(C)C,273.15,1.4041,-86,L14,Ligand_362,Pyox,P_646,NiH,literature,10.1038/s41467-021-24094-9,"(S)-4-phenyl-2-(5-(trifluoromethyl)pyridin-2-yl)-4,5-dihydrooxazole",(S)-triisopropyl(3-(4-methoxyphenyl)pent-1-yn-3-yl)silane,
5569,ClC(C=C1)=CC=C1[C@@H](CO2)N=C2C3=CC=CC(C4=N[C@@H](C5=CC=C(Cl)C=C5)CO4)=N3,FC=1C=C2[C@](C(N(C2=CC1)C(=O)OC12CC3CC(CC(C1)C3)C2)=O)([N+](=O)[O-])CC2=CC=C(C=C2)OC,273.15,1.4935,-88,L124,Ligand_471,Pyox,P_372,Others,literature,10.1021/acscatal.1c04460,"2,6-bis((S)-4-(4-chlorophenyl)-4,5-dihydrooxazol-2-yl)pyridine",adamantan-1-yl (R)-5-fluoro-3-(4-methoxybenzyl)-3-nitro-2-oxoindoline-1-carboxylate,
